Artist,source_file_path,num_songs,Artist ID,Website,Hometown,State,Year
Ice Cube,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_IceCube.json,264,186,https://genius.com/artists/Ice-cube,"Los Angeles, CA",CA,2000
Ice-T,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_IceT.json,159,1256,https://genius.com/artists/Ice-t,"Los Angeles, CA",CA,1993
J. Cole,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_J.Cole.json,293,69,https://genius.com/artists/J-cole,"Fayetteville, NC",NC,2012
JAY-Z,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_JAYZ.json,430,2,https://genius.com/artists/Jay-z,"Brooklyn, NY",NY,2002
JID,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_JID.json,133,324667,https://genius.com/artists/Jid,"East Atlanta, GA",GA,2017
Jack Harlow,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_JackHarlow.json,137,615747,https://genius.com/artists/Jack-harlow,"Louisville, KY",KY,2018
Juice WRLD,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_JuiceWRLD.json,1322,1237094,https://genius.com/artists/Juice-wrld,"Chicago, IL",IL,2019
KRS-One,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_KRSOne.json,287,1269,https://genius.com/artists/Krs-one,"The Bronx, NY",NY,2003
Kanye West,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_KanyeWest.json,500,72,https://genius.com/artists/Kanye-west,"Chicago, IL",IL,2013
Kendrick Lamar,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_KendrickLamar.json,369,1421,https://genius.com/artists/Kendrick-lamar,"Compton, CA",CA,2012
Kid Cudi,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_KidCudi.json,288,68,https://genius.com/artists/Kid-cudi,"Cleveland, OH",OH,2013
Kodak Black,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_KodakBlack.json,379,162126,https://genius.com/artists/Kodak-black,"Pompano Beach, FL",FL,2017
Kool Moe Dee,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_KoolMoeDee.json,66,1710,https://genius.com/artists/Kool-moe-dee,"Treasure Island, NY",NY,1988
Kurtis Blow,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_KurtisBlow.json,52,803,https://genius.com/artists/Kurtis-blow,"Harlem, NY",NY,1984
LL Cool J,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_LLCoolJ.json,271,848,https://genius.com/artists/Ll-cool-j,"Queens, NY",NY,1997
Lauryn Hill,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_LaurynHill.json,79,448,https://genius.com/artists/Lauryn-hill,"South Orange, NJ",NJ,2002
Lil Baby,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_LilBaby.json,181,1110328,https://genius.com/artists/Lil-baby,"Atlanta, GA",GA,2018
Lil Durk,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_LilDurk.json,418,21964,https://genius.com/artists/Lil-durk,"Chicago, IL",IL,2018
Lil Uzi Vert,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_LilUziVert.json,638,217208,https://genius.com/artists/Lil-uzi-vert,"Philadelphia, PA",PA,2017
Lil Wayne,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_LilWayne.json,500,4,https://genius.com/artists/Lil-wayne,"New Orleans, LA",LA,2013
Lil’ Kim,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_LilKim.json,174,411,https://genius.com/artists/Lil-kim,"Brooklyn, NY",NY,2005
Lizzo,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_Lizzo.json,79,84514,https://genius.com/artists/Lizzo,"Houston, TX",TX,2017
Logic,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_Logic.json,500,7922,https://genius.com/artists/Logic,"Gaithersburg, MD",MD,2015
Ludacris,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_Ludacris.json,250,111,https://genius.com/artists/Ludacris,"Atlanta, GA",GA,2008
MC Lyte,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_MCLyte.json,98,2048,https://genius.com/artists/Mc-lyte,"Brooklyn, NY",NY,1991
Mac Miller,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_MacMiller.json,561,820,https://genius.com/artists/Mac-miller,"Pittsburgh, PA",PA,2013
Megan Thee Stallion,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_MeganTheeStallion.json,151,1125517,https://genius.com/artists/Megan-thee-stallion,"Houston, TX",TX,2019
