term_str,n,tfidf,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
inhuman,3.0,0.0006973151408158168,0.0006973151408158168,0.0,0.0006973151408158168,0.0006973151408158168,0.0,0.0006973151408158168,0.0,0.0,-0.0006973151408158168
inhumanity,1.0,0.00021839800314499042,0.0,0.0,0.0,0.0,0.0,0.00021839800314499042,0.0,0.0,-0.00021839800314499042
iniquity,1.6666666666666667,0.00026281755782750846,0.0,0.0,0.00026281755782750846,0.0,0.0,0.0,0.0,0.0,-0.00026281755782750846
injure,1.4615384615384615,0.00015007210596077643,0.00015007210596077643,0.0,0.0,0.00015007210596077643,0.0,0.00015007210596077643,0.0,0.0,-0.00015007210596077643
injured,1.375,0.0001298808169580535,0.0,0.0,0.0,0.0001298808169580535,0.0,0.0001298808169580535,0.0,0.0,-0.0001298808169580535
injury,1.1,0.00013151645404965845,0.00013151645404965845,0.0,0.0,0.00013151645404965845,0.0,0.00013151645404965845,0.0,0.0,-0.00013151645404965845
injustice,1.9,0.0001949623535057372,0.0001949623535057372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001949623535057372
inmate,1.3846153846153846,0.00015116060705066436,0.0,0.0,0.00015116060705066436,0.00015116060705066436,0.0,0.0,0.0,0.0,-0.00015116060705066436
innocent,3.3098591549295775,0.00021753661824758203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021753661824758203,0.00021753661824758203
insane,7.719626168224299,0.0004234837505254416,0.0004234837505254416,0.0,0.0,0.0004234837505254416,0.0,0.0,0.0,0.0,-0.0004234837505254416
insanity,2.3095238095238093,0.00019582019496704894,0.00019582019496704894,0.0,0.00019582019496704894,0.00019582019496704894,0.0,0.00019582019496704894,0.0,0.0,-0.00019582019496704894
insecure,1.9761904761904763,0.0001962955645788718,0.0001962955645788718,0.0,0.0,0.0001962955645788718,0.0,0.0001962955645788718,0.0,0.0,-0.0001962955645788718
insecurity,1.8333333333333333,0.0002367815504652741,0.0,0.0,0.0,0.0002367815504652741,0.0,0.0,0.0,0.0,-0.0002367815504652741
inseparable,1.6666666666666667,0.00016480031772603447,0.0,0.0,0.0,0.0,0.00016480031772603447,0.0,0.0,0.00016480031772603447,0.00016480031772603447
insidious,1.3333333333333333,0.00012010994226073778,0.00012010994226073778,0.0,0.00012010994226073778,0.00012010994226073778,0.0,0.0,0.0,0.0,-0.00012010994226073778
insignificant,1.2,0.0001747707363267372,0.0001747707363267372,0.0,0.0,0.0,0.0,0.0001747707363267372,0.0,0.0,-0.0001747707363267372
inspiration,2.0,0.00022498818177917493,0.0,0.00022498818177917493,0.0,0.0,0.00022498818177917493,0.0,0.0,0.0,0.00022498818177917493
inspire,2.466666666666667,0.00022991590379407294,0.0,0.00022991590379407294,0.0,0.0,0.00022991590379407294,0.0,0.0,0.00022991590379407294,0.00022991590379407294
inspired,2.148936170212766,0.00016575925525273927,0.0,0.0,0.0,0.0,0.00016575925525273927,0.0,0.00016575925525273927,0.00016575925525273927,0.00016575925525273927
instinctive,1.0,6.324532102924252e-05,6.324532102924252e-05,0.0,6.324532102924252e-05,6.324532102924252e-05,0.0,0.0,0.0,0.0,6.324532102924252e-05
instruct,2.5,0.0006194350843837209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006194350843837209,0.0006194350843837209
instruction,1.0,0.000179296481287535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000179296481287535,0.000179296481287535
instructions,1.5,0.00014583763679574011,0.0,0.00014583763679574011,0.0,0.0,0.0,0.0,0.0,0.00014583763679574011,0.0
instructor,1.3333333333333333,0.00013995499041513212,0.0,0.00013995499041513212,0.0,0.0,0.0,0.0,0.0,0.00013995499041513212,0.00013995499041513212
insult,1.2916666666666667,0.000132433179484262,0.000132433179484262,0.0,0.000132433179484262,0.0,0.0,0.000132433179484262,0.000132433179484262,0.0,-0.000132433179484262
